annotater_id	table_id	hypothesis	label
GW0	T10	Born to Run wurde im Sommer 1975 veröffentlicht.	E
GW0	T10	1974 wurde die Mehrheit von Born to Run aufgenommen.	N
GW0	T10	Born to Run wurde in einem einzigen New Yorker Studio aufgenommen.	C
GW11	T10	Born to Run wurde in der zweiten Hälfte des Jahres 1975 veröffentlicht.	E
GW11	T10	Bruce Springsteen lebte 1975 in New York City.	N
GW11	T10	Es schneite in NYC an dem Tag, als Born to Run veröffentlicht wurde.	C
GW1	T10	Es dauerte über ein Jahr, um das Album Born to Run aufzunehmen.	E
GW1	T10	Jon Landau arbeitete mehr als Mike Appel bei Born to Run.	N
GW1	T10	Der Frühling 1975 ist, als Born to Run veröffentlicht wurde.	C
GW1	T11	Jock Lewes starb wahrscheinlich während des Militärdienstes.	E
GW1	T11	Jock Lewes wäre über den Rang eines Leutnants gestiegen, wenn er nicht gestorben wäre.	N
GW1	T11	Jock Lewes wurde im Frühjahr 1913 geboren.	C
GW2	T11	Jock Lewes kämpfte, als Hitler in Deutschland an der Macht war.	E
GW2	T11	Jock Lewes wurde im Krieg getötet.	N
GW2	T11	Jock Lewes kämpfte in der Operation Dessert Storm.	C
GW0	T11	Jock Lewes war über fünf Jahre beim Militär.	E
GW0	T11	Jock Lewes starb während der Operation Crusader.	N
GW0	T11	Jock Lewes starb in seiner Heimat.	C
GW9	T15	Peter Benchley arbeitete sowohl an der Originalgeschichte als auch am Drehbuch für Jaws.	E
GW9	T15	Die Produktion für Jaws erfolgte hauptsächlich im Frühjahr 1975.	N
GW9	T15	Jaws brach nicht einmal in der Kasse.	C
GW4	T15	Der Film Jaws erschien im Sommer 1975.	E
GW4	T15	Der Film Jaws wurde hauptsächlich von David Brown produziert.	N
GW4	T15	Der Film Jaws machte nur $10 Millionen nach der Veröffentlichung.	C
GW1	T15	Jaws wurde im Sommer 1975 veröffentlicht.	E
GW1	T15	Carl Gottlieb schrieb mehr von dem Drehbuch zu Jaws als Peter Benchley.	N
GW1	T15	Die Laufzeit von Jaws ist unter zwei Stunden lang.	C
GW3	T16	Äthiopisches Reich hatte viele verschiedene Hauptstädte in verschiedenen Zeiträumen.	E
GW3	T16	Die Hauptstadt des Äthiopischen Reiches im Jahre 1270 war Gondar.	N
GW3	T16	Das Äthiopische Reich ist zur Zeit eine Monarchie.	C
GW1	T16	Das Äthiopische Reich wurde kurz nach dem 2. Weltkrieg in die Vereinten Nationen aufgenommen.	E
GW1	T16	Eines Tages wird das Äthiopische Reich einen Monarchen wieder einführen.	N
GW1	T16	Der Italo-Äthiopische Krieg war Ende des 18. Jahrhunderts.	C
GW0	T16	Gondar war über zweihundert Jahre lang die Hauptstadt Äthiopiens.	E
GW0	T16	Geez ist die häufigste Sprache, die in Äthiopien gesprochen wird.	N
GW0	T16	Mikael Imru war Ministerpräsident von Äthiopien nach der Habte Giyorgis	C
GW5	T18	James Paul Marsden wurde im 20. Jahrhundert geboren.	E
GW5	T18	James Paul Marsden sang lieber als Schauspieler.	N
GW5	T18	James Paul Marsden wurde im 19. Jahrhundert geboren.	C
GW12	T18	James Marsden war mehr als fünf Jahre verheiratet.	E
GW12	T18	James Marsden hat weniger als vier Kinder.	N
GW12	T18	Der mittlere Name von James Marsden ist Linde.	C
GW1	T18	James Marsden agiert und modelliert seit mehr als 25 Jahren.	E
GW1	T18	James Marsden wurde wegen Untreue geschieden.	N
GW1	T18	James Marsden wurde im Frühjahr 1973 geboren.	C
GW1	T21	Christus in der Wüste wurde in der zweiten Hälfte des 19. Jahrhunderts gemalt.	E
GW1	T21	Ivan Kramskoi hielt Christus in der Wüste für sein bisher bestes Gemälde.	N
GW1	T21	Die längere Seite des Bildes ist weniger als 6 Fuß lang.	C
GW4	T21	Christus in der Wüste befindet sich in Moskau.	E
GW4	T21	Christus in der Wüste wurde mit Ölfarbe hergestellt.	N
GW4	T21	Das Kunstwerk Christus in der Wüste ist über sechs Fuß groß.	C
GW13	T21	Christus in der Wüste wurde von Ivan Kramskoi in den frühen 1870er Jahren gemalt.	E
GW13	T21	Ivan Kramskoi lebte in Moskau in den 1870er Jahren.	N
GW13	T21	Christus in der Wüste wurde in den 1900er Jahren geformt.	C
GW1	T22	Alles, alles machte ungefähr 50 Millionen Dollar über sein Budget.	E
GW1	T22	Everything, Everything wurde nur in den Vereinigten Staaten veröffentlicht.	N
GW1	T22	Alles, alles hat eine Laufzeit von über zwei Stunden.	C
GW9	T22	Alles, alles machte über sechs Mal sein Budget, während in der Kasse.	E
GW9	T22	Everything, Everything basierte auf einer Kurzgeschichte von Nicola Yoon.	N
GW9	T22	Alles, alles war über zwei Stunden lang.	C
GW4	T22	Everything, Everything war ein Film, den Stella Meghi	E
GW4	T22	Der Film Alles, Alles wurde von Warner Brothers Pictures gekauft.	N
GW4	T22	Der Film Everything, Everything hat an der Kasse Geld verloren.	C
GW1	T23	Die Laufzeit von Jason Bourne ist länger als zwei Stunden.	E
GW1	T23	David Buckley machte mehr Musik auf Jason Bourne als John Powell.	N
GW1	T23	Die Kasse von Jason Bourne war fast 400 Millionen Dollar mehr als das Budget.	C
GW0	T23	Jason Bourne ist über zwei Stunden in der Laufzeit.	E
GW0	T23	Paul Greengrass schrieb die Mehrheit des Jason Bourne-Skripts.	N
GW0	T23	Jason Bourne uraufgeführt in den Vereinigten Staaten vor Odeon Leicester Square.	C
GW2	T23	Der Film Jason Bourne wurde im Sommer veröffentlicht.	E
GW2	T23	Der Film Jason Bourne dauerte 3 Monate.	N
GW2	T23	Der Film Jason Bourne verdiente über eine halbe Million Dollar an der Kasse.	C
GW1	T24	Jimmy Eat World wurde im Südwesten der Vereinigten Staaten gegründet.	E
GW1	T24	Jimmy Eat World machte gerne Musik auf Dreamworks mehr als RCA.	N
GW1	T24	Jimmy Eat World ist seit mehr als 30 Jahren eine Band.	C
GW0	T24	Jimmy Eat World wurde Anfang der 1990er Jahre gegründet.	E
GW0	T24	Jimmy Eat World veröffentlichte die meisten ihrer Alben auf Geffen Records.	N
GW0	T24	Jimmy Eat World sind aus Minnesota.	C
GW3	T24	Jimmy eat world ist eine Band aus Arizona, die mehrere Genres aufstellt.	E
GW3	T24	Jimmy eat World spielt Metall.	N
GW3	T24	Jimmy essen Welt spielt vor allem klassische Musik.	C
GW0	T25	BTS stammt aus der Hauptstadt Südkoreas.	E
GW0	T25	BTS wurde vom Mitglied Pony Canyon gegründet.	N
GW0	T25	BTS sind bekannt für Country-Musik.	C
GW1	T25	BTS hat in der Vergangenheit mindestens ein paar verschiedene Namen verloren.	E
GW1	T25	BTS mag es, Musik auf Pony Canyon mehr als Columbia aufzunehmen.	N
GW1	T25	BTS ist seit den frühen 2000er Jahren eine Band.	C
GW2	T25	BTS stammt aus Asien.	E
GW2	T25	BTS hat 2 Weltmusikpreise gewonnen.	N
GW2	T25	BTS ist seit 9 Jahren aktiv.	C
GW1	T27	Charlie und die Schokoladenfabrik brachten fast eine halbe Milliarde Dollar an die Kasse.	E
GW1	T27	Richard D. Zanuck arbeitete mehr als Produzent von Charlie and the Chocolate Factory als Brad Grey.	N
GW1	T27	Charlie and the Chocolate Factory hat eine Laufzeit von mehr als 2 Stunden.	C
GW2	T27	Charlie and the Chocolate Factory hatte mehr als 2 Produktionsfirmen.	E
GW2	T27	Charlie and the Chocolate Factory war die Nummer 1 in den Theatern in der ersten Woche, in der sie veröffentlicht wurde.	N
GW2	T27	Charlie and the Chocolate Factory wurde zu Weihnachten veröffentlicht.	C
GW0	T27	Charlie and the Chocolate Factory ist kein originales Drehbuch.	E
GW0	T27	Charlie and the Chocolate Factory machte im Vereinigten Königreich mehr Geld.	N
GW0	T27	Das gesamte Filmbudget kostete weniger als 100 Millionen Dollar.	C
GW4	T462	Chocolate Starfish and the Hot Dog Flavored Water ist ein Album, das im Herbst 2000 herauskam.	E
GW4	T462	Chocolate Starfish and the Hot Dog Flavored Water ist ein Album, das hauptsächlich Rap-Musik ist.	N
GW4	T462	Das Album Chocolate Starfish and the Hot Dog Flavored Water ist weniger als eine Stunde lang	C
GW1	T462	Es dauerte etwa 3 Monate, um Chocolate Starfish and the Hot Dog Flavored Water aufzunehmen.	E
GW1	T462	Die Leute assoziieren Chocolate Starfish and the Hot Dog Flavored Water eher mit Rap Metal als mit Nu Metal.	N
GW1	T462	Die Gesamtlaufzeit aller Tracks auf Chocolate Starfish and the Hot Dog Flavored Water beträgt weniger als eine Stunde.	C
GW0	T462	Chocolate Starfish and the Hot Dog Flavored Water wurde in Kalifornien aufgenommen.	E
GW0	T462	Chocolate Starfish and the Hot Dog Flavored Water ist Terry Dates einziges Produktionsguthaben.	N
GW0	T462	Chocolate Starfish and the Hot Dog Flavored Water ist über achtzig Minuten lang.	C
GW2	T32	John Frusciante wurde im Frühjahr geboren.	E
GW2	T32	John Frusciante hat länger Keyboard gespielt als Gitarre.	N
GW2	T32	John Frusciante ist ein Baby Boomer.	C
GW0	T32	John Frusciante tritt seit über zwanzig Jahren auf.	E
GW0	T32	John Frusciante ist eines der Gründungsmitglieder der Red Hot Chili Peppers.	N
GW0	T32	John Frusciante spielt nur ein Instrument.	C
GW1	T32	John Frusciante hat seit mehr als 30 Jahren Musik gemacht.	E
GW1	T32	John Frusciante mag seinen Spitznamen.	N
GW1	T32	John Frusciante wurde im Sommer 1970 geboren.	C
GW9	T33	K2-21c hat eine Temperatur von mindestens 3000K.	E
GW9	T33	K2-21c ist 275 Lichtjahre entfernt.	N
GW9	T33	Die Größe von K2-21c ist unbekannt, wird aber auf mehr als 1R_ geschätzt.	C
GW4	T33	Der Stern K2-21c befindet sich im Sternbild Wassermann.	E
GW4	T33	Der Stern K2-21c ist etwas kleiner als die Sonne.	N
GW4	T33	K2-21c ist über 5000 Grad K.	C
GW1	T33	K2-21c ist größer als 1 Gyr alt.	E
GW1	T33	Die Temperatur von K2-21c ist ziemlich heiß im Vergleich zu anderen Sternen.	N
GW1	T33	K2-21 ist noch nicht 1 Gyr alt.	C
GW1	T34	Einer der Eltern von John Paul Getty III war geritten worden.	E
GW1	T34	John Paul Getty III wurde aufgrund eines Lösegeldes aus der Entführung entlassen.	N
GW1	T34	John Paul Getty III starb im Herbst 2011.	C
GW0	T34	John Paul Getty III starb in einem anderen Land als er geboren wurde.	E
GW0	T34	John Paul Getty III wurde als Kind entführt.	N
GW0	T34	John Paul Getty III hat nur einen Geschwister.	C
GW3	T34	John Paul Getty III wurde in Minnesota geboren.	E
GW3	T34	John Paul Getty III wurde wirklich viele Male entführt.	N
GW3	T34	John Paul Getty III starb am 5. Februar 2011 (im Alter von 54 Jahren)	C
GW0	T1909	Sir Hiram Stevens Maxim wurde im Nordosten der Vereinigten Staaten geboren.	E
GW0	T1909	Sir Hiram Stevens Maxim wird mit der Erfindung der Glühbirne von einigen Leuten gutgeschrieben.	N
GW0	T1909	Sir Hiram Stevens Maxim heiratete Jane Budden nach Sarah Haynes.	C
GW14	T1909	Sir Hiram Stevens Maxim hatte 2 Töchter und 1 Sohn.	E
GW14	T1909	== Leben ==Sir Hiram Stevens Maxim wurde in Maine geboren.	N
GW14	T1909	Sir Hiram Stevens Maxim wurde im Frühjahr geboren.	C
GW1	T1909	Sir Hiram Stevens Maxim starb im Frühjahr 1916.	E
GW1	T1909	Sir Hiram Stevens Maxim hat wirklich die Glühbirne erfunden.	N
GW1	T1909	Sir Hiram Stevens Maxim lebte nie in Europa.	C
GW1	T36	Joe Budden ist seit 20 Jahren oder mehr aktiv.	E
GW1	T36	Joe Budden bevorzugt das Label Def Jam vor dem Desert Storm eins.	N
GW1	T36	Joe Budden wurde im Frühjahr 1980 geboren.	C
GW3	T36	Joe Budden wurde in New York geboren	E
GW3	T36	Joe Budden lebt in New York	N
GW3	T36	Joe Budden wurde in New Jersey geboren	C
GW4	T36	Joe Budden wurde im Sommer 1980 geboren.	E
GW4	T36	Joe Budden verbrachte den Großteil ihres Lebens damit zu rappen.	N
GW4	T36	Joe Budden wurde im Westen der Vereinigten Staaten geboren.	C
GW0	T37	Chris Cornell starb in den Vereinigten Staaten.	E
GW0	T37	Chris Cornell war Schlagzeuger für Soundgarden.	N
GW0	T37	Chris Cornell war weniger als dreißig Jahre aktiv.	C
GW4	T37	Chris Cornell wurde an der Westküste der USA geboren.	E
GW4	T37	Chris Cornell hatte 3 Kinder zwischen zwei Ehefrauen.	N
GW4	T37	Chris Cornell war bekannt für Popmusik.	C
GW3	T37	Chris Cornell war US-Bürger.	E
GW3	T37	Chris Cornell war geistig krank.	N
GW3	T37	Chris Cornell starb an einem Herzinfarkt.	C
GW4	T38	== Weblinks ==== Einzelnachweise ==	E
GW4	T38	Ein Schachspiel kann einen halben Tag dauern.	N
GW4	T38	Schach wird mit vier Personen gespielt.	C
GW0	T38	Das Schachspiel erfordert mehr als einen Spieler.	E
GW0	T38	Turnierspiele von Schach durchschnittlich zwei Stunden.	N
GW0	T38	Schach wurde im achtzehnten Jahrhundert erfunden.	C
GW9	T38	Schach wurde lange vor dem Jahr 1000CE erfunden.	E
GW9	T38	Schach-Spiele dauern durchschnittlich 30 Minuten.	N
GW9	T38	Schach ist ein Spiel mit wenig geistigem Engagement.	C
GW1	T39	Ernesto Zedillo ging auf mehr als eine Schule für College.	E
GW1	T39	Ernesto Zedillo wurde gezwungen, Mexiko zu verlassen und in die USA zu gehen.	N
GW1	T39	Ernesto Zedillo wurde im Frühjahr 1951 geboren.	C
GW3	T39	Ernesto Zedillo ist ein mexikanischer Politiker, der der Partei der Institutionellen Revolution angeschlossen ist.	E
GW3	T39	Ernesto Zedillo ist dauerhaft in die Vereinigten Staaten gezogen	N
GW3	T39	Ernesto Zedillo wurde im Hochsommer 1951 geboren	C
GW2	T39	Ernesto Zedillo spricht mindestens 2 Sprachen	E
GW2	T39	Ernesto Zedillo hat 2 Söhne und 3 Töchter.	N
GW2	T39	Ernesto Zedillo besuchte eine Universität in Kalifornien.	C
GW3	T41	Kaitlin Olson ist eine kalifornische Komikerin.	E
GW3	T41	Kaitlin Olson hat einen besten Comedian Award gewonnen.	N
GW3	T41	== Weblinks ==== Einzelnachweise ==	C
GW1	T41	Kaitlin Olson wurde im Frühjahr 1975 geboren.	E
GW1	T41	Kaitlin Olson wird ein weiteres Kind bekommen.	N
GW1	T41	Kaitlin Olson spielt oder spielt seit über 20 Jahren Komödie.	C
GW4	T41	Kaitlin Olson begann vor 2005 zu handeln.	E
GW4	T41	Kaitlin Olson stand in der Vergangenheit auf.	N
GW4	T41	Kaitlin Olson ist seit über zwanzig Jahren verheiratet.	C
GW2	T42	Das Album Everybody ist mehr als eine Stunde lang.	E
GW2	T42	Das Album Everybody wurde auf Vinyl veröffentlicht.	N
GW2	T42	Das Album Everybody enthält genau 10 Tracks.	C
GW6	T42	Jeder ist über eine Stunde und 10 Minuten lang.	E
GW6	T42	Die Produzenten von Everybody arbeiteten getrennt auf jeder Strecke.	N
GW6	T42	Everybody wurde Ende 2017 veröffentlicht.	C
GW1	T42	Jeder hat eine Laufzeit, die über eine Stunde lang ist.	E
GW1	T42	Logic produzierte mehr auf dem Album Everybody als Deats.	N
GW1	T42	Everybody wurde im Herbst 2017 veröffentlicht.	C
GW14	T44	Man kann das gesamte Album in weniger als einer Stunde hören.	E
GW14	T44	Heavy Metal Fans aus England kauften dieses Album.	N
GW14	T44	Es dauerte mehr als ein Jahr, um das Album aufzunehmen.	C
GW1	T44	British Steel wurde im Frühjahr 1980 veröffentlicht.	E
GW1	T44	Tom Allom war weniger als Produzent von British Steel zu sehen.	N
GW1	T44	British Steel dauerte über 6 Monate, um es aufzunehmen.	C
GW0	T44	British Steel wurde im Frühjahr 1980 veröffentlicht.	E
GW0	T44	British Steel ist Tom Alloms einziger Produktionskredit.	N
GW0	T44	British Steel wurde im Sommer 1980 aufgenommen.	C
GW1	T45	Jennette McCurdy wurde im Sommer 1992 geboren.	E
GW1	T45	Jennette McCurdy hat ihr ganzes Leben in Kalifornien gelebt.	N
GW1	T45	Jennette McCurdy ist als Musikerin tätig, seit sie 5 Jahre alt ist.	C
GW9	T45	Jennette McCurdy spielt ein paar Musikinstrumente und singt auch.	E
GW9	T45	Jennette McCurdy konzentriert sich in erster Linie darauf, jetzt zu handeln.	N
GW9	T45	Jennette McCurdy war fünf Jahre alt, als sie ihre musikalische Karriere begann.	C
GW4	T45	Jennette McCurdy wurde an der Westküste der USA geboren.	E
GW4	T45	Jennette McCurdy hat ihr ganzes Leben in Kalifornien gelebt.	N
GW4	T45	Jennette McCurdy ist bekannt für Rap-Musik.	C
GW3	T617	Christopher Polhem wurde in Schweden geboren.	E
GW3	T617	Christopher Polhem hat nie außerhalb Schwedens gearbeitet.	N
GW3	T617	Christopher Polhem arbeitete auf dem Gebiet der Biologie.	C
GW1	T617	Christopher Polhem starb Mitte des 18. Jahrhunderts.	E
GW1	T617	Christopher Polhem hatte mehr als 2 Hochschulabschlüsse.	N
GW1	T617	Christopher Polhem wurde im Sommer 1661 geboren.	C
GW5	T617	Christopher Polhem lebt in Europa.	E
GW5	T617	== Leben ==Christopher Polhem studierte Physik an der Universität Uppsala.	N
GW5	T617	Christopher Polhem liegt in der südlichen Hemisphäre.	C
GW7	T617	Er wurde 1661 geboren.	E
GW7	T617	Er ist aus Schweden umgezogen.	N
GW7	T617	Er ist noch am Leben.	C
GW9	T49	Channing Tatum wurde im Frühjahr 1980 geboren.	E
GW9	T49	Channing Tatum hat ein Kind auf dem Weg.	N
GW9	T49	Channing Tatum wurde außerhalb der USA geboren.	C
GW2	T49	Channing Tatum wuchs in Alabama auf.	E
GW2	T49	Channing Tatum hat sich von Jenna Dewan getrennt.	N
GW2	T49	Channing Tatum handelt seit mehr als 30 Jahren.	C
GW1	T49	Channing Tatum handelt seit fast 20 Jahren.	E
GW1	T49	Channing Tatum wird mehr Kinder haben.	N
GW1	T49	Channing Tatum wurde im Herbst 1980 geboren.	C
GW6	T50	Jesse Plemons wurde im Frühjahr geboren.	E
GW6	T50	Jesse Plemons begann als Komiker, als er zehn war.	N
GW6	T50	Jesse Plemons ist mit einem Mann verlobt.	C
GW4	T50	Jesse Plemons will Kirsten Dunst heiraten.	E
GW4	T50	Jesse Plemons verbrachte den größten Teil ihres Lebens in Texas.	N
GW4	T50	Jesse Plemons ist über vierzig Jahre alt	C
GW3	T50	Jesse Plemons spielte in Komödien.	E
GW3	T50	Jesse Plemons arbeitete im Theater.	N
GW3	T50	Jesse Plemons war ein britischer Schauspieler.	C
GW1	T51	Jennifer Garner handelt seit mehr als 20 Jahren.	E
GW1	T51	Jennifer Garner ließ sich wegen Betrugs von Ben Affleck scheiden.	N
GW1	T51	Jennifer Garner wurde im Herbst 1972 geboren.	C
GW0	T51	Jennifer Garner war zweimal verheiratet.	E
GW0	T51	Jennifer Garner hat in mehr Filmen gespielt als sie produziert hat.	N
GW0	T51	Jennifer Garner wurde im Nordwesten der USA geboren.	C
GW9	T51	Jennifer Garner behielt ihren Vornamen, als sie Schauspielerin wurde.	E
GW9	T51	Jennifer Garner hatte drei Kinder mit Ehegatte, Ben Affleck.	N
GW9	T51	Jennifer Garner hat einen Doktortitel in Theater an der UCLA.	C
GW4	T2024	In der Regel ist ein Hot Dog aus Schweinefleisch, Rindfleisch oder Huhn.	E
GW4	T2024	Ein typischer Hot Dog wird warm serviert.	N
GW4	T2024	Ein Hot Dog hat in der Regel weniger als 100 Kalorien.	C
GW1	T2024	Heißer Hund soll vor dem Essen gekocht werden.	E
GW1	T2024	Hot dogs wurden zum ersten Mal in Frankfurt gegessen.	N
GW1	T2024	Ein Hot Dog hat weniger als 200 kcal pro Portion.	C
GW5	T2024	Hot dogs enthalten mehr als 200 kcal.	E
GW5	T2024	Hot dogs können aus Nachahmung Truthahn gemacht werden.	N
GW5	T2024	Hot dogs enthalten weniger als 200 kcal.	C
GW1	T54	Eine Minderheit der Burkina Faso-Bevölkerung identifiziert sich als Tuareg.	E
GW1	T54	Roch Marc Christian Kabor? wird Paul Kaba Thieba eines Tages als Premierminister von Burkina Faso ersetzen.	N
GW1	T54	Burkina Faso hat mehr als eine Amtssprache.	C
GW14	T54	Die Mehrheit der Mossi spricht Französisch.	N
GW14	T54	Es gibt weniger Senufo-Leute als Tuareg.	C
GW4	T54	Die meisten Menschen in Burkina Faso sprechen Französisch.	E
GW4	T54	Die Mossi-Ethnie hat die größte Macht in Burkina Faso.	N
GW4	T54	Burkina Faso wird von einer Monarchie kontrolliert.	C
GW4	T1867	Das Album Invincible wurde im Herbst 2001 veröffentlicht.	E
GW4	T1867	Das Album Invincible dauerte fast 4 Jahre, bis es aufgenommen wurde.	N
GW4	T1867	Das Album Invincible war weniger als eine Stunde lang.	C
GW0	T1867	Invincible wurde in mehr als einem Plattenstudio aufgenommen.	E
GW0	T1867	Der Großteil von Invincible wurde im Jahr 2000 aufgenommen.	N
GW0	T1867	Unbesiegbar wurde von zwei Personen produziert.	C
GW1	T1867	Invincible dauerte fast vier Jahre,	E
GW1	T1867	Die Leute würden Invincible mehr als ein Soul-Album als ein Pop-Album einstufen.	N
GW1	T1867	Auf Unbesiegbar gab es über 15 Produzenten.	C
GW2	T591	Die Chromatics bildeten sich in den westlichen USA.	E
GW2	T591	Die Chromatics tourten 2010 durch die USA.	N
GW2	T591	Die Chromatics sind dafür bekannt, Heavy Metal zu spielen.	C
GW1	T591	Chromatics wurde im Nordwesten gebildet.	E
GW1	T591	Die Leute assoziieren Chromatics mit Synth-Rock mehr als Traumpop.	N
GW1	T591	Chromatics ist seit über 20 Jahren eine Band.	C
GW4	T591	Chromatics wurde an der Westküste der Vereinigten Staaten gebildet.	E
GW4	T591	Die Band Chromatics ist seit den frühen 2000er Jahren aktiv.	N
GW4	T591	Die Band Chromatics ist bekannt für ihre Metalmusik.	C
